miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	0.564262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	0.902818	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	37	4.175535	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	234	26.407440	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5876	663.120170	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	18101	2042.739652	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	88175	9950.752381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1298	146.482298	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	41	4.626945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.225705	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.338557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	16	1.805637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.112852	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.112852	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	0.677114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	13	1.467080	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.225705	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.451409	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.112852	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.112852	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.112852	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.225705	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	26	2.934160	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	67	7.561105	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	51	5.755468	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176037:+	1	0.112852	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.112852	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	4	0.451409	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.338557	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	9	1.015671	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	0.338557	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.225705	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	21	2.369898	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	9	1.015671	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.112852	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	2	0.225705	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146545-122146568:-	1	0.112852	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146589:-	1	0.112852	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	17	1.918489	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.112852	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.225705	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1348	152.124913	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.338557	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	20	2.257046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	21	2.369898	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	87759	9903.805820	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.451409	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	0.451409	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	6	0.677114	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	17768	2005.159833	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.112852	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5949	671.358389	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.112852	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	252	28.438782	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.112852	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	5	0.564262	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.225705	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.112852	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.112852	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	5	0.564262	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	7	0.789966	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	144	16.250733	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	301	33.968545	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	265	29.905862	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.225705	N	mature,MIMAT0000062
