miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	6	1.820563	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	1.213709	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	3.034271	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	3.337699	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	148	44.907218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5908	1792.647596	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	14721	4466.751060	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	25289	7673.369170	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	514	155.961555	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	3.034271	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.606854	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.910281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	12	3.641126	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.303427	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.303427	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.303427	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.303427	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.606854	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.606854	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.303427	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	10	3.034271	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	12	3.641126	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	1.213709	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.303427	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.910281	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	4.551407	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.820563	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	1.213709	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	499	151.410147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.303427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.303427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.303427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.606854	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	2.427417	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	25489	7734.054600	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.213709	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.303427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	0.910281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	14970	4542.304420	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	1.820563	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.303427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5758	1747.133524	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.303427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	172	52.189470	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.303427	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.303427	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.303427	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	1.213709	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	30	9.102814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	50	15.171357	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	23	6.978824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	165	50.065480	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5921	1796.592149	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	14998	4550.800380	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	25397	7706.139302	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	451	136.845644	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.606854	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.910281	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	2	0.606854	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.606854	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	0.606854	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	6	1.820563	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	10	3.034271	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	15	4.551407	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.303427	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.606854	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112825:+	1	0.303427	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.303427	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	2.123990	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	30	9.102814	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	557	169.008922	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	12010	3644.160059	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4494	1363.601607	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8262	2506.915105	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1469	445.734482	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	4	1.213709	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.303427	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	4	1.213709	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	4	1.213709	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	7	2.123990	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.303427	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.303427	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.303427	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.303427	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	5	1.517136	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	29	8.799387	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.303427	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.303427	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	6	1.820563	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	24	7.282252	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	20	6.068543	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	9	2.730844	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	352	106.806356	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1972	598.358338	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1355	411.143787	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	4392	1332.652038	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	166	50.368907	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.606854	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.303427	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.303427	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	5	1.517136	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.303427	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.303427	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.303427	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	3	0.910281	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	8	2.427417	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	18	5.461689	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.303427	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	2	0.606854	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	3	0.910281	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	110	33.376986	N	mature,MIMAT0000065
