miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.524328	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.262164	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.572984	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	4.456788	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	101	26.478566	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2300	602.977239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8279	2170.455898	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	47817	12535.896808	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	522	136.849617	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	2.621640	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.262164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.786492	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	1.572984	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	26	6.816264	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.262164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.262164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	17	4.456788	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	1.310820	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.048656	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	13	3.408132	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	2.359476	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.262164	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.262164	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.262164	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	16	4.194624	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.048656	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146586:-	1	0.262164	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	2.359476	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.262164	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	524	137.373945	N	mature,MIMAT0000062
