miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.133143	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	1	0.133143	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	0.932000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	19	2.529714	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	63	8.387998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	696	92.667411	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	17528	2333.727569	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	45043	5997.152607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	125886	16760.818621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1541	205.173105	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	51	6.790284	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	10	1.331428	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	37	4.926285	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	130	17.308568	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.133143	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	8	1.065143	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	11	1.464571	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	42	5.591999	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	179	23.832567	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	0.665714	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	11	1.464571	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	48	6.390856	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	5	0.665714	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.133143	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.133143	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.133143	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	17	2.263428	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	45	5.991427	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	34	4.526856	N	mature,MIMAT0004481
