miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.411648	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.205824	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.823295	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.440767	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	2.469886	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	351	72.244178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	10682	2198.610565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	16004	3294.005195	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	25027	5151.153962	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	522	107.440059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	20	4.116477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.823295	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	1.646591	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	0.823295	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	21	4.322301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.411648	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	8	1.646591	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	4	0.823295	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.205824	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.205824	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.205824	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	22	4.528125	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	24	4.939773	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	23	4.733949	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.205824	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.205824	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	18	3.704830	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	8	1.646591	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	8	1.646591	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.205824	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146565-122146590:-	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	1.440767	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	561	115.467190	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	6	1.234943	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	17	3.499006	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	10	2.058239	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	24986	5142.715183	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	1.234943	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.411648	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.411648	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	0.823295	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	16118	3317.469116	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.617472	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.411648	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	10500	2161.150621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.411648	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	314	64.628695	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.205824	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	15	3.087358	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	4	0.823295	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.205824	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	0.823295	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.411648	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	71	14.613495	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	85	17.495029	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	25	5.145597	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	339	69.774291	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	10531	2167.531161	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	16260	3346.696105	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	25181	5182.850838	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	544	111.968185	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.411648	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	0.617472	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	9	1.852415	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.411648	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	0.823295	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	10	2.058239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	4	0.823295	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	4	0.823295	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.205824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.205824	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	22	4.528125	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	44	9.056250	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	15	3.087358	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.205824	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.205824	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.205824	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.205824	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.205824	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.205824	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.205824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	36	7.409659	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	99	20.376563	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	2159	444.373733	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	32803	6751.640365	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	11449	2356.477473	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	19480	4009.448962	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3602	741.377575	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	5	1.029119	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.411648	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.205824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	11	2.264063	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.205824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	6	1.234943	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	4	0.823295	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.205824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.205824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.205824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.205824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	3	0.617472	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113703-46113725:+	1	0.205824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113742-46113766:+	1	0.205824	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.205824	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	3	0.617472	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	60	12.349432	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	137	28.197870	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.205824	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.205824	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	3	0.617472	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113748-46113765:+	1	0.205824	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.205824	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.205824	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.205824	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	29	5.968892	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	84	17.289205	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	60	12.349432	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	50	10.291193	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.411648	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	617	126.993327	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	2703	556.341917	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2158	444.167909	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	5667	1166.403864	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	260	53.514206	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.205824	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.205824	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	4	0.823295	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	2	0.411648	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	4	0.823295	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.205824	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539865:+	1	0.205824	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539864:+	1	0.205824	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539877-16539900:+	1	0.205824	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.205824	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	2	0.411648	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	4	0.823295	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	16	3.293182	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	15	3.087358	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.205824	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539905-16539929:+	1	0.205824	N	precursor
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.205824	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.205824	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	3	0.617472	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.411648	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	165	33.960938	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	258	53.102558	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	663	136.461225	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	44	9.056250	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.205824	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	3	0.617472	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	3	0.617472	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	21	4.322301	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.205824	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	1	0.205824	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.205824	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.205824	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	2	0.411648	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	2	0.411648	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	6	1.234943	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	227	46.722018	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	552	113.614776	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	935	192.445317	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	4	0.823295	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	18	3.704830	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	21	4.322301	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	61	12.555256	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178917:+	1	0.205824	N	mature,MIMAT0004484
