miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.142777	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.285554	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.571109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	1.998881	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	197	28.127118	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5879	839.387446	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10516	1501.445548	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	21204	3027.448783	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	847	120.932330	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	29	4.140540	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.428332	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	14	1.998881	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	40	5.711090	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.142777	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.142777	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.142777	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	1.427772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	9	1.284995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.142777	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	14	1.998881	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	18	2.569990	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	0.571109	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.142777	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.142777	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	7	0.999441	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	0.571109	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.142777	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	1.142218	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.142777	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.142777	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.285554	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	781	111.509031	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	7	0.999441	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	0.571109	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	44	6.282199	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	21204	3027.448783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.142777	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.142777	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	26	3.712208	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10506	1500.017776	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	0.713886	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5954	850.095739	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	213	30.411554	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.285554	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.142777	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.142777	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146614:-	1	0.142777	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.142777	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.142777	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	50	7.138862	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	61	8.709412	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	30	4.283317	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.142777	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	254	36.265421	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5984	854.379057	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	10392	1483.741169	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	21350	3048.294262	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	755	107.796823	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	5	0.713886	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	19	2.712768	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	44	6.282199	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	5	0.713886	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.142777	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	0.571109	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	10	1.427772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	3	0.428332	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	0.713886	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.142777	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.142777	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	16	2.284436	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	35	4.997204	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	6	0.856663	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.142777	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.142777	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.142777	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112825:+	1	0.142777	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	0.428332	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	11	1.570550	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	221	31.553772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3502	500.005925	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1348	192.463731	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	2973	424.476761	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	710	101.371847	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	4	0.571109	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.285554	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	17	2.427213	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	7	0.999441	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.142777	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	0.428332	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.142777	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.142777	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.142777	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	5	0.713886	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	13	1.856104	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.285554	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	3	0.428332	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.142777	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	3	0.428332	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.142777	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	2	0.285554	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	31	4.426095	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	66	9.423298	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	54	7.709971	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	33	4.711649	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1009	144.062244	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	3367	480.730997	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2703	385.926903	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	6794	970.028628	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	455	64.963648	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.285554	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	2	0.285554	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.142777	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	10	1.427772	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	25	3.569431	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539859:+	1	0.142777	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	5	0.713886	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.142777	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.142777	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539882:+	1	0.142777	N	stemloop
hsa-let-7c	hg38:chr21:16539883-16539903:+	9	1.284995	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	22	3.141099	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	20	2.855545	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178858:+	2	0.285554	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.142777	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	60	8.566635	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	82	11.707734	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	286	40.834293	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	19	2.712768	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.142777	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.142777	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.142777	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	1	0.142777	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	2	0.285554	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.142777	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.142777	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.142777	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	30	4.283317	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	72	10.279962	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	188	26.842123	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178914:+	1	0.142777	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.142777	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	6	0.856663	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	10	1.427772	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178917:+	1	0.142777	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178915:+	1	0.142777	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	1	0.142777	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	2	0.285554	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	10	1.427772	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	120	17.133270	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	458	65.391980	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1112	158.768301	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	30	4.283317	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	3	0.428332	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	9	1.284995	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692796-51692815:+	1	0.142777	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692798-51692815:+	1	0.142777	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692798-51692822:+	1	0.142777	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.142777	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	2	0.285554	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	5	0.713886	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	6	0.856663	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.142777	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	5	0.713886	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	3	0.428332	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	50	7.138862	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	72	10.279962	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	1512	215.879200	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	5056	721.881770	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	15056	2149.654258	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	55	7.852749	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	2	0.285554	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176373:+	1	0.142777	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	10	1.427772	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	42	5.996644	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	6	0.856663	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	6	0.856663	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	6	0.856663	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	1	0.142777	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	6	0.856663	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	3	0.428332	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	6	0.856663	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	514	73.387506	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.142777	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	6	0.856663	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	32	4.568872	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	14992	2140.516514	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	24	3.426654	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557265:-	1	0.142777	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	8	1.142218	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	5024	717.312898	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	10	1.427772	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557267:-	3	0.428332	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	1539	219.734186	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	6	0.856663	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	71	10.137185	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	44	6.282199	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557269:-	1	0.142777	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	4	0.571109	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	6	0.856663	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557288:-	1	0.142777	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557291:-	1	0.142777	N	precursor
hsa-let-7g	hg38:chr3:52268278-52268301:-	1	0.142777	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	3	0.428332	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	128	18.275488	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	14	1.998881	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268353:-	1	0.142777	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268354:-	2	0.285554	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268358:-	91	12.992730	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268354:-	8	1.142218	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	12	1.713327	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268356:-	1	0.142777	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	25	3.569431	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	2870	409.770704	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	43	6.139422	N	mature,MIMAT0000414
