miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.187309	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.749235	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.561926	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	21	3.933481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.187309	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	134	25.099358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4277	801.119057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	13058	2445.876232	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	36039	6750.416106	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2460	460.779256	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	164	30.718617	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.561926	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	1.123852	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.561926	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	1.311160	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.374617	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.187309	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.187309	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.123852	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	1.311160	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	1.498469	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.187309	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.374617	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.374617	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	8	1.498469	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.374617	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.374617	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	24	4.495407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.187309	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2462	461.153874	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.187309	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	7	1.311160	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	0.749235	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	36108	6763.340402	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.187309	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.187309	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	13297	2490.642997	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.187309	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4165	780.140489	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.187309	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	122	22.851654	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.187309	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.561926	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.187309	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.187309	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146613:-	1	0.187309	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	40	7.492346	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	63	11.800444	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	29	5.431951	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	135	25.286667	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4292	803.928686	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	13437	2516.866207	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	36088	6759.594230	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	2366	443.172244	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	0.749235	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.187309	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.187309	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	0.936543	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	4	0.749235	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.187309	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	4	0.749235	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	15	2.809630	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	4	0.749235	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.187309	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	1.311160	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	23	4.308099	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	487	91.219308	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	8786	1645.693718	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4364	817.414908	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	13436	2516.678898	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5424	1015.962068	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	5	0.936543	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.561926	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.374617	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	2	0.374617	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	0.561926	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.561926	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	0.374617	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	2	0.374617	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.187309	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	12	2.247704	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	40	7.492346	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539856:+	1	0.187309	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.187309	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.374617	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	7	1.311160	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	40	7.492346	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	51	9.552741	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	41	7.679654	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	3	0.561926	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539862:+	1	0.187309	N	mature,MIMAT0000064
