miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	1.161763	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	1.936271	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.387254	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	4.259796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	52	20.137220	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2704	1047.135422	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8015	3103.842607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	20170	7810.917703	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	637	246.680941	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	47	18.200949	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	1.936271	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.387254	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	1.161763	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.387254	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.387254	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	2.710780	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	17	6.583322	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	1.936271	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	1.936271	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.387254	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	3.485288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.387254	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	661	255.975042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	0.774508	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.387254	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.774508	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	20048	7763.672688	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.387254	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.387254	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8038	3112.749455	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2657	1028.934474	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	62	24.009762	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146609:-	2	0.774508	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.387254	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.774508	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.387254	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.387254	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	14	5.421559	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	41	15.877423	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	8	3.098034	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	67	25.946033	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2616	1013.057051	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7918	3066.278948	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	20228	7833.378448	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	642	248.617212	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.387254	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.387254	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	5	1.936271	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.387254	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	4	1.549017	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.774508	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	1.161763	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	18	6.970576	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	5	1.936271	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.387254	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	5	1.936271	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	212	82.097896	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4428	1714.761705	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2328	901.527834	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5131	1987.001425	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	894	346.205276	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.387254	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.387254	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.774508	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	12	4.647051	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	39	15.102915	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.387254	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.387254	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	8	3.098034	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	14	5.421559	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	13	5.034305	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	30	11.617627	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	303	117.338030	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	357	138.249758	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1804	698.606621	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	103	39.887185	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	4	1.549017	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	0.774508	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	4	1.549017	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	8	3.098034	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.387254	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.774508	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	97	37.563660	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	174	67.382235	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	363	140.573283	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	19	7.357830	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.387254	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	7	2.710780	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	48	18.588203	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	195	75.514574	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	433	167.681079	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.387254	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	0.774508	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	12	4.647051	N	mature,MIMAT0004484
