miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.302684	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.908051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	2.421470	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	45	13.620770	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1661	502.757752	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3603	1090.569645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	11295	3418.813250	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	457	138.326486	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	28	8.475146	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.302684	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.908051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.302684	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.302684	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	2.118786	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	1.816103	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	1	0.302684	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	1.513419	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.302684	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	11	3.329522	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	445	134.694280	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.302684	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.302684	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.302684	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	1.210735	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	11376	3443.330635	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.302684	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.302684	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3661	1108.125304	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1712	518.194624	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	62	18.766394	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.302684	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	7	2.118786	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	35	10.593932	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	18	5.448308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	69	20.885181	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1710	517.589257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3630	1098.742107	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	11323	3427.288395	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	447	135.299648	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.302684	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.908051	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.302684	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.302684	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112781:+	1	0.302684	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	0.908051	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	7	2.118786	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	7	2.118786	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.605368	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.302684	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.302684	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	3	0.908051	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	174	52.666977	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	2300	696.172685	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1085	328.411897	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	2567	776.989253	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	519	157.092880	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.302684	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.302684	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	6	1.816103	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	10	3.026838	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.302684	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.302684	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	3	0.908051	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	1	0.302684	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	16	4.842940	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	80	24.214702	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	97	29.360326	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	576	174.345855	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	30	9.080513	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.302684	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	2	0.605368	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	4	1.210735	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.302684	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	77	23.306651	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	72	21.793232	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	199	60.234071	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	7	2.118786	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.605368	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.302684	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	3	0.908051	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.302684	N	mature,MIMAT0000065
