miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.606859	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.213717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	31	9.406310	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	37	11.226886	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	523	158.693555	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2140	649.338827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	31707	9620.834673	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	587	178.113034	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	29	8.799451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.303429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.303429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.303429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.910288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	2.124006	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.303429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	1.517147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.303429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.606859	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.303429	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.303429	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.303429	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.606859	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	14	4.248011	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	25	7.585734	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.606859	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	1.213717	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.303429	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146589:-	1	0.303429	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	16	4.854870	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	546	165.672430	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.303429	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.303429	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	7	2.124006	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	13	3.944582	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	31830	9658.156485	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.910288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2083	632.043354	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.303429	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	584	177.202745	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.606859	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	48	14.564609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	28	8.496022	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	103	31.253224	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	240	72.823046	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	8	2.427435	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	31	9.406310	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	563	170.830729	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2055	623.547332	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	31771	9640.254152	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	583	176.899316	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.606859	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.606859	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.606859	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	9	2.730864	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	4	1.213717	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.303429	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112797-46112820:+	1	0.303429	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	16	4.854870	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	16	4.854870	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.606859	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	3	0.910288	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.910288	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.303429	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.303429	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.303429	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.303429	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	3	0.910288	N	mature,MIMAT0004481
