miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.080876	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.242629	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.161753	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	22	1.779281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	20	1.617529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	38	3.073304	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.161753	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1038	83.949733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	31318	2532.887995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	75489	6105.280729	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	132571	10721.869035	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2814	227.586270	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	77	6.227485	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.080876	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	14	1.132270	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	45	3.639439	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	102	8.249396	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	5	0.404382	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	6	0.485259	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.080876	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.242629	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	72	5.823103	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	183	14.800386	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	7	0.566135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	3	0.242629	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	7	0.566135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	37	2.992428	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.161753	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.323506	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	4	0.323506	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.080876	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.080876	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.080876	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.080876	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	42	3.396810	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	137	11.080071	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	66	5.337844	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.080876	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.161753	N	mature,MIMAT0004481
