miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	0.467069	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.116767	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.233534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	9	1.050904	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	1.167671	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	18	2.101809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1110	129.611529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	23006	2686.344888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	37469	4375.148075	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	52319	6109.140147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1297	151.446984	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	36	4.203617	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	19	2.218576	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	22	2.568877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	90	10.509043	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.350301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.350301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.350301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	37	4.320384	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	155	18.098907	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	11	1.284439	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.116767	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	10	1.167671	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	70	8.173700	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	12	1.401206	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.350301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	4	0.467069	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.116767	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	35	4.086850	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	69	8.056933	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	2.218576	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	2	0.233534	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.116767	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.350301	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.116767	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	36	4.203617	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.233534	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	10	1.167671	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.116767	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	3	0.350301	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	14	1.634740	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	3	0.350301	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	13	1.517973	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.233534	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	5	0.583836	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1287	150.279313	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	5	0.583836	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	54	6.305426	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	160	18.682743	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	53	6.188659	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	52439	6123.152204	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.350301	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	6	0.700603	N	mature,MIMAT0000062
