miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.195987	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.195987	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.391973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	13	2.547826	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	15	2.939799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	2.547826	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1166	228.520360	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	26047	5104.862623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	34334	6729.003467	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	43503	8526.004480	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	773	151.497632	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	27	5.291638	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	14	2.743812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	18	3.527759	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	41	8.035450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.391973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.391973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	42	8.231437	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	84	16.462873	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	0.979933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	10	1.959866	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	24	4.703678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	4	0.783946	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	6	1.175920	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.195987	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.195987	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	2	0.391973	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	4	0.783946	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.391973	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	28	5.487624	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	20	3.919732	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	0.783946	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.391973	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.587960	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.195987	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176034:+	1	0.195987	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.587960	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.175920	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.195987	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	1	0.195987	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.195987	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	1.567893	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	3	0.587960	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	4	0.783946	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	814	159.533082	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	0.587960	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	32	6.271571	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	70	13.719061	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	3	0.587960	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	31	6.075584	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	43229	8472.304156	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.783946	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.391973	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	29	5.683611	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	17	3.331772	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	33924	6648.648966	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	0.783946	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.391973	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146588:-	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	11	2.155852	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	25718	5040.383036	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	1200	235.183904	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	6	1.175920	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.195987	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146585-122146604:-	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	12	2.351839	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	5	0.979933	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.195987	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	11	2.155852	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	6	1.175920	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	77	15.090967	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	89	17.442806	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	21	4.115718	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	1150	225.384575	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	25882	5072.524836	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	34163	6695.489761	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	43204	8467.404491	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	769	150.713685	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.587960	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	14	2.743812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	17	3.331772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	26	5.095651	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.195987	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	4	0.783946	N	mature,MIMAT0000062
