miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.214628	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.429256	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	1.931653	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	3.004793	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	154	33.052721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4403	945.007354	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11628	2495.695098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	27484	5898.837639	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	771	165.478235	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	20	4.292561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.214628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	0.858512	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.214628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.214628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.643884	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	1.502396	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.214628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.429256	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175986:+	1	0.214628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.214628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176011-94176034:+	1	0.214628	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	1.502396	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	16	3.434049	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	15	3.219421	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.214628	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.429256	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.429256	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	21	4.507189	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.643884	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.214628	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	1.073140	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.214628	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	769	165.048979	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.214628	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.429256	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	9	1.931653	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.214628	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	6	1.287768	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	27734	5952.494654	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	1.287768	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	0.858512	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11648	2499.987659	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	9	1.931653	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4519	969.904209	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	0.858512	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	139	29.833301	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.214628	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.429256	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.429256	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112773:+	1	0.214628	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	0.858512	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.429256	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	51	10.946031	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	96	20.604294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	34	7.297354	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.214628	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	157	33.696606	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4393	942.861074	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	11345	2434.955356	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	27717	5948.845977	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	726	155.819973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.214628	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.214628	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	7	1.502396	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	5	1.073140	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	1.717024	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	4	0.858512	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	1.073140	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	11	2.360909	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	19	4.077933	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	2.790165	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.214628	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.214628	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.214628	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	11	2.360909	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	38	8.155866	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	590	126.630556	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	9995	2145.207473	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6666	1430.710657	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	17851	3831.325524	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4626	992.869412	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.643884	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.214628	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	6	1.287768	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	7	1.502396	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	5	1.073140	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	0.643884	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	4	0.858512	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.214628	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	15	3.219421	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	49	10.516775	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.429256	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	0.643884	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.214628	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.214628	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.214628	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	26	5.580330	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	27	5.794958	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	21	4.507189	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.214628	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	129	27.687020	N	mature,MIMAT0000064
