miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.424357	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	3.819209	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	16	6.789705	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.424357	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	56	23.763966	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1822	773.177611	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6441	2733.280459	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22694	9630.347264	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1087	461.275556	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	67	28.431888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.424357	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.424357	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.848713	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.424357	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.424357	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.424357	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.848713	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	3.819209	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	29	12.306340	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.424357	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.424357	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.848713	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	17	7.214061	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146546:-	1	0.424357	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.697426	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.424357	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	26	11.033270	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1101	467.216548	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.848713	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	1.697426	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	1.273070	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22353	9485.641684	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	9	3.819209	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.848713	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6524	2768.502051	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	1.273070	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1896	804.579995	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	47	19.944757	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.848713	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146615:-	1	0.424357	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.424357	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	20	8.487131	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	58	24.612679	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	55	23.339610	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	68	28.856245	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1986	842.772084	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6549	2779.110965	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	22537	9563.723287	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1040	441.330799	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	5	2.121783	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.424357	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.424357	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.848713	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	0.848713	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.424357	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	1.273070	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.424357	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	11	4.667922	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	15	6.365348	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.424357	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.848713	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.848713	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112825:+	1	0.424357	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	1.273070	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	19	8.062774	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	297	126.033892	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	9176	3893.895589	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2980	1264.582482	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12652	5368.958913	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4941	2096.745652	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	7	2.970496	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.424357	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	1.273070	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	1.697426	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.424357	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	0.848713	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.848713	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.424357	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113732-46113756:+	1	0.424357	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	6	2.546139	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	32	13.579409	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	1.273070	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.424357	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	2	0.848713	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	16	6.789705	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	25	10.608913	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	45	19.096044	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.848713	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	139	58.985559	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	897	380.647814	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	757	321.237899	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	6445	2734.977885	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	879	373.009397	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	20	8.487131	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	3	1.273070	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.424357	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	1	0.424357	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539867-16539894:+	1	0.424357	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539875-16539899:+	2	0.848713	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	3	1.273070	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	31	13.155053	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	2	0.848713	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	24	10.184557	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	71	30.129314	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	364	154.465780	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	64	27.158818	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.424357	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	4	1.697426	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.424357	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.424357	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178894-94178917:+	1	0.424357	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	14	5.940992	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	83	35.221593	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	550	233.396096	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	5	2.121783	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178919:+	1	0.424357	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	13	5.516635	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	2	0.848713	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	1	0.424357	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	9	3.819209	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	174	73.838038	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	694	294.503437	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2893	1227.663463	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	151	64.077837	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	37	15.701192	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692860:+	1	0.424357	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.424357	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	8	3.394852	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	45	19.096044	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176368:+	1	0.424357	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	14	5.940992	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	14	5.940992	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	349	148.100432	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	1975	838.104162	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	10403	4414.581060	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	92	39.040801	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	6	2.546139	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	1	0.424357	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	1	0.424357	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	1	0.424357	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	2	0.848713	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176382:+	1	0.424357	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	0.424357	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	4	1.697426	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.424357	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.424357	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	11	4.667922	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	671	284.743237	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	2	0.848713	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	10563	4482.478106	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	10	4.243565	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	1953	828.768318	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	8	3.394852	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	402	170.591328	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	13	5.516635	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	8	3.394852	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	3	1.273070	N	mature,MIMAT0000067
hsa-let-7g	hg38:chr3:52268278-52268301:-	3	1.273070	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	4	1.697426	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	36	15.276835	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	147	62.380411	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	1	0.424357	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1408	597.494005	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	21	8.911487	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	228	96.753291	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	4	1.697426	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	29	12.306340	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	1	0.424357	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	7	2.970496	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	1	0.424357	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268341-52268358:-	2	0.848713	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603668-62603691:+	1	0.424357	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603708:+	1	0.424357	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603709:+	1	0.424357	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	2	0.848713	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	127	53.893280	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	106	44.981793	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	809	343.304439	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	4	1.697426	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603716:+	2	0.848713	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603713:+	1	0.424357	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603714:+	1	0.424357	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	16	6.789705	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	26	11.033270	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	41	17.398618	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554351-62554371:+	1	0.424357	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554351-62554372:+	2	0.848713	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554351-62554373:+	80	33.948523	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829014-21829037:-	4	1.697426	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829015-21829037:-	58	24.612679	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829016-21829037:-	2	0.848713	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829017-21829037:-	2	0.848713	N	mature,MIMAT0000416
hsa-mir-100	hg38:chr11:122152273-122152297:-	21	8.911487	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	65	27.583175	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152295:-	1	0.424357	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	8	3.394852	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	2680	1137.275521	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152298:-	2	0.848713	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152295:-	1	0.424357	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152296:-	48	20.369114	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	18112	7685.945609	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152298:-	4	1.697426	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152297:-	93	39.465158	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152278-122152297:-	19	8.062774	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152279-122152297:-	10	4.243565	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152280-122152297:-	4	1.697426	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152282-122152297:-	1	0.424357	Y	mature,MIMAT0000098
hsa-mir-101-1	hg38:chr1:65058439-65058463:-	2	0.848713	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058440-65058463:-	9	3.819209	N	mature,MIMAT0000099
