miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.384151	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.768302	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	3.073207	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	46	17.670939	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1994	765.996810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3605	1384.863842	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	14709	5650.474964	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	138	53.012818	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	1.536603	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.384151	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	2.304905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	2.304905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.384151	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.384151	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.384151	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	2.689056	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	22	8.451319	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	1	0.384151	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.768302	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	1.152453	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.384151	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.768302	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	117	44.945650	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.384151	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	11	4.225659	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	14818	5692.347408	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.384151	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3593	1380.254031	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1948	748.325871	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	53	20.359995	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	23	8.835470	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	45	17.286789	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	43	16.518487	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	50	19.207543	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1938	744.484362	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3525	1354.131773	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	14488	5565.577625	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	126	48.403008	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.768302	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	9	3.457358	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.384151	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.384151	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	1	0.384151	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112798-46112821:+	1	0.384151	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	6	2.304905	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	17	6.530565	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	8	3.073207	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	1.152453	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.384151	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	0.768302	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	3	1.152453	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	322	123.696576	N	mature,MIMAT0000063
