miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.643260	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.643260	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	1.286521	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	42	13.508467	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1857	597.267237	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3576	1150.149510	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	10254	3297.995826	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	366	117.716644	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	12	3.859562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.321630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.321630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.321630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.321630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.321630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.321630	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.321630	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	10	3.216302	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	2.251411	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	3	0.964891	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.643260	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	351	112.892192	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.964891	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	10227	3289.311811	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.321630	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.321630	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3643	1171.698732	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1937	622.997651	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	40	12.865207	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.321630	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	11	3.537932	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	9	2.894672	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	8	2.573041	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	44	14.151728	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1948	626.535583	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3688	1186.172090	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	10340	3325.656021	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	360	115.786863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.321630	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	1.286521	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	2.894672	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	13	4.181192	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	1	0.321630	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113709:+	2	0.643260	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	175	56.285281	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3785	1217.370217	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2016	648.406435	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5420	1743.235555	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1328	427.124874	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.321630	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.321630	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.321630	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.321630	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.321630	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	19	6.110973	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	25	8.040754	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.643260	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	14	4.502822	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	41	13.186837	N	mature,MIMAT0000064
