miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.629029	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.943544	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	4.717720	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	92	28.935349	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3024	951.092341	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8416	2646.955404	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	23417	7364.989863	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1228	386.224006	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	59	18.556365	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.629029	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.629029	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	8	2.516117	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176009:+	1	0.314515	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	1.572573	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	21	6.604808	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	2.201603	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.314515	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	13	4.088691	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	14	4.403205	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.629029	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146586:-	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	24	7.548352	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1331	418.619016	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.943544	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	1.572573	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	23395	7358.070541	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	1.572573	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.629029	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8411	2645.382830	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.943544	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3084	969.963221	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	97	30.507922	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	6	1.887088	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.314515	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.629029	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146614:-	1	0.314515	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	38	11.951557	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	53	16.669277	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	34	10.693499	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	83	26.104717	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2974	935.366608	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	8542	2686.584251	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	23557	7409.021916	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1357	426.796398	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	5	1.572573	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.943544	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	1.258059	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	2.201603	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.314515	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	1.572573	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	23	7.233837	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	9	2.830632	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.314515	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.943544	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.314515	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.314515	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	1.887088	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	14	4.403205	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	578	181.789475	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	10646	3348.323102	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5455	1715.677487	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	17572	5526.651658	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5461	1717.564575	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	8	2.516117	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.314515	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.629029	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113715:+	1	0.314515	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	0.629029	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	1.258059	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.943544	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.314515	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	0.943544	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	13	4.088691	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	53	16.669277	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.314515	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.314515	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.314515	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.629029	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.314515	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	10	3.145147	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	44	13.838645	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	45	14.153160	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	39	12.266072	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.629029	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	194	61.015845	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1005	316.087236	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1285	404.151342	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	7099	2232.739593	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	687	216.071573	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	11	3.459661	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	10	3.145147	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	3	0.943544	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	1	0.314515	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.943544	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.314515	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	6	1.887088	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	25	7.862867	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.314515	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	52	16.354762	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	122	38.370789	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	467	146.878348	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	53	16.669277	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.629029	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178867:+	1	0.314515	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.314515	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	1	0.314515	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178894-94178917:+	1	0.314515	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.314515	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	38	11.951557	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	193	60.701330	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	730	229.595704	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	2	0.629029	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.314515	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	7	2.201603	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	42	13.209616	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	1	0.314515	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692774-51692793:+	2	0.629029	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.314515	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	5	1.572573	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	137	43.088509	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	382	120.144601	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	895	281.490623	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	30	9.435440	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	4	1.258059	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.314515	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	1	0.314515	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	2	0.629029	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	5	1.572573	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	15	4.717720	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	23	7.233837	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	596	187.450739	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	3388	1065.575678	N	mature,MIMAT0000067
