miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.322140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	1.288561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	28	9.019924	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1642	528.954117	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4104	1322.063153	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	10468	3372.163033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	461	148.506607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	20	6.442803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.322140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.322140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.322140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.322140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	1.610701	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.644280	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.966420	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	2.899261	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	1.610701	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.322140	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	12	3.865682	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.966420	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.322140	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	3.221401	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.322140	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	467	150.439447	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.644280	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	1.610701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	10477	3375.062294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.322140	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.966420	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4056	1306.600426	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.644280	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1651	531.853379	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	31	9.986344	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	1	0.322140	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	8	2.577121	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.322140	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	21	6.764943	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	43	13.852026	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	15	4.832102	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	38	12.241325	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1642	528.954117	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4033	1299.191203	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	10422	3357.344586	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	433	139.486683	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.322140	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	0.966420	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.322140	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.322140	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.322140	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	1.610701	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	7	2.254981	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	2	0.644280	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113709:+	4	1.288561	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	78	25.126931	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	1762	567.610935	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	766	246.759351	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	2044	658.454455	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	459	147.862326	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.322140	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.322140	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.322140	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	1.288561	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	18	5.798523	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.322140	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.644280	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539855:+	1	0.322140	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	5	1.610701	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	40	12.885606	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	61	19.650549	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	46	14.818447	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.644280	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	191	61.528768	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1065	343.079254	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1158	373.038287	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	5750	1852.305831	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	690	222.276700	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	7	2.254981	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	0.644280	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	0.644280	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.322140	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.322140	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	4	1.288561	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	9	2.899261	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	23	7.409223	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	9	2.899261	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	27	8.697784	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	103	33.180435	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	9	2.899261	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.322140	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	1	0.322140	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	17	5.476382	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	77	24.804791	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	221	71.192972	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	7	2.254981	N	mature,MIMAT0004484
