miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.411986	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.235958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	2.059931	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	198	40.786630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5338	1099.591063	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10474	2157.571523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	19041	3922.314242	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	632	130.187627	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	45	9.269689	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.205993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.617979	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	8	1.647945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	22	4.531848	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.205993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.205993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	1.029965	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.411986	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.205993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.205993	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.205993	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	3	0.617979	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.411986	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	20	4.119862	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	88	18.127391	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	37	7.621744	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.411986	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.205993	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.617979	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.411986	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	45	9.269689	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	18	3.707875	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.205993	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.205993	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146589:-	1	0.205993	N	mature,MIMAT0000062
