miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.554270	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	1	0.277135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	44	12.193939	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	990	274.363629	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2083	577.272160	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	8146	2257.541536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	152	42.124517	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	1	0.277135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.554270	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.554270	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.277135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.277135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.277135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.662810	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	5	1.385675	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	2.217080	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.277135	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.277135	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.277135	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.277135	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	1.108540	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.277135	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.277135	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	1.385675	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	150	41.570247	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.277135	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	7972	2209.320049	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.277135	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2019	559.535522	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1045	289.606053	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.277135	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	37	10.253994	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.831405	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.554270	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.831405	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112773:+	1	0.277135	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	22	6.096970	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	38	10.531129	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	25	6.928374	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.277135	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	30	8.314049	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1054	292.100267	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2106	583.646265	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	8218	2277.495254	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	135	37.413222	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.277135	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	0.554270	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	0.554270	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	8	2.217080	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	6	1.662810	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.277135	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.554270	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.277135	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	2	0.554270	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.277135	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.277135	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	2	0.554270	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	109	30.207713	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	1454	402.954259	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	731	202.585669	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	1496	414.593928	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	250	69.283745	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.277135	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.277135	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.277135	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	1	0.277135	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	6	1.662810	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.277135	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	4	1.108540	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	1	0.277135	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	1	0.277135	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	4	1.108540	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	24	6.651239	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	77	21.339393	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	58	16.073829	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	650	180.137736	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	19	5.265565	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.277135	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539905:+	4	1.108540	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	42	11.639669	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	43	11.916804	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	88	24.387878	N	mature,MIMAT0000065
