miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.175306	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	0.701223	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	9	1.577752	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	0.876529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	0.701223	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1451	254.368663	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	32855	5759.670874	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	30908	5418.350552	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	29833	5229.896855	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	312	54.695398	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	1.051835	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	24	4.207338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	21	3.681421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	46	8.064065	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.175306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.175306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.175306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	5	0.876529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	50	8.765288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	104	18.231799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.701223	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	4	0.701223	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	16	2.804892	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	52	9.115900	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	4	0.701223	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	5	0.876529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.175306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.175306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.175306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176028:+	1	0.175306	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.175306	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.350612	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	5	0.876529	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	63	11.044263	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	39	6.836925	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	11	1.928363	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	4	0.701223	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.175306	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	5	0.876529	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.175306	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176033:+	1	0.175306	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.175306	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	2.629586	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	13	2.278975	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	21	3.681421	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.175306	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	4	0.701223	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	2	0.350612	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.175306	N	mature,MIMAT0010195
