miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175939-94175962:+	1	0.216713	N	precursor
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	2	0.433425	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.216713	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	11	2.383838	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.433425	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.216713	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	1.083563	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.300275	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.516988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	752	162.967817	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	14757	3198.026702	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	26457	5733.563222	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	32659	7077.614290	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1045	226.464587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	47	10.185489	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	11	2.383838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	29	6.284663	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	43	9.318638	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	7	1.516988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	31	6.718088	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	104	22.538102	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	11	2.383838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	12	2.600550	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	47	10.185489	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	9	1.950413	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175986:+	2	0.433425	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.650138	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	3	0.650138	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	4	0.866850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175987:+	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.216713	N	stemloop
hsa-let-7a-1	hg38:chr9:94176011-94176034:+	1	0.216713	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.216713	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.216713	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.433425	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	24	5.201101	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	34	7.368226	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	24	5.201101	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	3	0.650138	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.216713	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176034:+	1	0.216713	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	2.167125	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	10	2.167125	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.866850	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	3	0.650138	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.216713	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	2.167125	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	10	2.167125	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	9	1.950413	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	7	1.516988	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1043	226.031162	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.433425	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	60	13.002751	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	77	16.686864	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	3	0.650138	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	52	11.269051	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	32890	7127.674883	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	1.300275	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	9	1.950413	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	21	4.550963	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	20	4.334250	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	26342	5708.641282	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.650138	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	5	1.083563	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	6	1.300275	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	14697	3185.023951	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	800	173.370018	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.216713	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.216713	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	11	2.383838	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	14	3.033975	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	5	1.083563	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	50	10.835626	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	80	17.337002	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	18	3.900825	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	793	171.853031	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	14589	3161.618999	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	26429	5727.495271	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	32955	7141.761197	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1039	225.164311	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	2	0.433425	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	8	1.733700	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	26	5.634526	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	45	9.752064	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	4	0.866850	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.433425	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	37	8.018363	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	74	16.036727	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	13	2.817263	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	14	3.033975	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	42	9.101926	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	7	1.516988	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112758-46112775:+	1	0.216713	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	5	1.083563	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112798-46112820:+	1	0.216713	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.216713	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	2	0.433425	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	18	3.900825	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	38	8.235076	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	2.817263	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.433425	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.216713	N	mature,MIMAT0004481
