miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.630711	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.103745	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	2.680523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	3	0.473034	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	431	67.959152	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8997	1418.627588	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	30291	4776.219658	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	69608	10975.639561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	3826	603.275442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	199	31.377892	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.157678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	43	6.780147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	119	18.763664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	9	1.419101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.473034	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	7	1.103745	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	32	5.045691	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.157678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.473034	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	18	2.838201	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.315356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175986:+	1	0.157678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.315356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	3	0.473034	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.315356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.157678	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	18	2.838201	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	46	7.253181	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	34	5.361047	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.157678	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.315356	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.157678	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.157678	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146544:-	2	0.315356	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	33	5.203369	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	10	1.576778	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.630711	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.157678	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	26	4.099624	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.315356	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.157678	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.157678	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.315356	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	6	0.946067	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	3939	621.093039	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.315356	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	24	3.784268	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	22	3.468913	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	126	19.867409	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	69170	10906.576664	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	16	2.522846	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	0.473034	N	mature,MIMAT0000062
