miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	0.690355	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.690355	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	49	8.456844	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	65	11.218262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2324	401.096007	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	13177	2274.200552	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	84879	14649.151451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1955	337.410798	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	77	13.289326	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.172589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	16	2.761418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.345177	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	0.690355	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.517766	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.172589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.172589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176012-94176034:+	1	0.172589	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	0.690355	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	24	4.142127	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	20	3.451773	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.345177	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.517766	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.172589	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.172589	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	27	4.659893	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	0.690355	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.345177	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146565-122146590:-	1	0.172589	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	28	4.832482	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1948	336.202677	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.172589	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.517766	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	21	3.624362	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	85794	14807.070059	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	13	2.243652	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	13084	2258.149808	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	0.862943	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2189	377.796540	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	76	13.116737	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	10	1.725886	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.172589	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	15	2.588830	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146613:-	1	0.172589	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.172589	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.172589	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.172589	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	35	6.040603	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	134	23.126878	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	139	23.989821	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	3	0.517766	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	75	12.944148	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2339	403.684837	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	13389	2310.789345	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	85705	14791.709670	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	2002	345.522464	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	8	1.380709	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.172589	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	0.517766	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	28	4.832482	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.172589	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.172589	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	8	1.380709	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	23	3.969539	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	30	5.177659	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.345177	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.172589	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.517766	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.172589	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.172589	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.172589	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.172589	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	7	1.208121	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	179	30.893367	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3517	606.994258	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3959	683.278439	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	26107	4505.771709	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4293	740.923045	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.172589	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	0.517766	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.172589	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113714:+	1	0.172589	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113764:+	1	0.172589	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	0.690355	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	41	7.076134	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.345177	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	5	0.862943	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	8	1.380709	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	40	6.903546	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	97	16.741098	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	220	37.969502	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	3	0.517766	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	130	22.436524	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1001	172.761232	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2687	463.745684	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	43266	7467.220239	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	1358	234.375378	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	9	1.553298	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539863:+	2	0.345177	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539864:+	2	0.345177	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.172589	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	32	5.522837	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.172589	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.172589	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.517766	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539904:+	1	0.172589	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	8	1.380709	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	33	5.695425	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	201	34.690317	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	13	2.243652	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539907:+	1	0.172589	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	5	0.862943	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178822-94178841:+	1	0.172589	N	precursor
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.172589	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	87	15.015212	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	175	30.203013	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	996	171.898289	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	68	11.736028	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.345177	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.345177	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	6	1.035532	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.172589	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	25	4.314716	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	121	20.883226	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	646	111.492264	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.172589	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	5	0.862943	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	23	3.969539	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692792-51692815:+	1	0.172589	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.172589	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	11	1.898475	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	27	4.659893	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	761	131.339958	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	5123	884.171619	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	31404	5419.973753	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	2164	373.481824	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	309	53.329891	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	5	0.862943	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	4	0.690355	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692858:+	1	0.172589	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692859:+	3	0.517766	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692859:+	2	0.345177	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	3	0.517766	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	22	3.796950	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	68	11.736028	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.172589	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176352-94176374:+	1	0.172589	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176368:+	1	0.172589	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	3	0.517766	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	20	3.451773	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	82	14.152269	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	2042	352.426010	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	9933	1714.322993	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	75906	13100.513555	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	280	48.324820	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	18	3.106596	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	1	0.172589	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	15	2.588830	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	2	0.345177	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	2	0.345177	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	3	0.517766	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	3	0.517766	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176408-94176430:+	1	0.172589	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	3	0.517766	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	5	0.862943	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	2	0.345177	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.172589	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557223-53557246:-	1	0.172589	N	stemloop
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	24	4.142127	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	1	0.172589	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	2011	347.075762	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557269:-	1	0.172589	N	mature,MIMAT0000067
