miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	1.152606	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	15	3.457819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	3.227297	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.230521	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	303	69.847937	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7593	1750.347799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	21919	5052.795128	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	40771	9398.581603	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1524	351.314374	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	86	19.824827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	1.613649	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	11	2.535734	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	31	7.146159	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.691564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	0.922085	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	29	6.685116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	60	13.831275	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	1.152606	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	2	0.461042	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	4	0.922085	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	38	8.759807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	3	0.691564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175986:+	1	0.230521	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.230521	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	0.922085	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	35	8.068244	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	10	2.305212	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.461042	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	31	7.146159	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	11	2.535734	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146548:-	1	0.230521	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	14	3.227297	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.461042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	5	1.152606	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	0.691564	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1552	357.768969	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	3	0.691564	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	35	8.068244	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	89	20.516391	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.230521	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	26	5.993552	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	40887	9425.322067	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	1.383127	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	4	0.922085	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	27	6.224074	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.461042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	13	2.996776	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	22038	5080.227156	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	10	2.305212	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.461042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.230521	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	7528	1735.363918	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	0.922085	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	281	64.776469	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	9	2.074691	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	4	0.922085	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.691564	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.230521	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	49	11.295541	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	79	18.211178	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	15	3.457819	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	292	67.312203	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	7583	1748.042586	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	22034	5079.305071	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	40610	9361.467683	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1495	344.629258	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.461042	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	5	1.152606	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	13	2.996776	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	49	11.295541	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.461042	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	4	0.922085	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	4	0.922085	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.230521	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	27	6.224074	N	mature,MIMAT0000062
