miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.208840	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.208840	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.835361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.835361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	1.670722	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	179	37.382397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5594	1168.252112	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	14566	3041.966439	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	26080	5446.552570	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1117	233.274510	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	47	9.815490	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.417680	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	1.253041	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.208840	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	1.253041	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.208840	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	2	0.417680	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	11	2.297242	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	30	6.265206	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	1.879562	N	mature,MIMAT0004481
