miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.228796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	1.143980	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	3	0.686388	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	95	21.735614	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2634	602.648496	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7070	1617.587269	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	14464	3309.304421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	563	128.812112	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	29	6.635082	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.228796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.686388	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	0.915184	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.228796	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	11	2.516755	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	26	5.948694	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	14	3.203143	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.228796	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	12	2.745551	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	10	2.287959	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.686388	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.228796	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.228796	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.228796	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	15	3.431939	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.228796	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	560	128.125724	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.457592	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.686388	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.686388	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	14302	3272.239480	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.457592	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.228796	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7090	1622.163188	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.228796	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2665	609.741170	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	71	16.244511	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.228796	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	16	3.660735	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	5	1.143980	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	8	1.830367	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.228796	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.915184	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	53	12.126185	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	82	18.761267	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	53	12.126185	N	mature,MIMAT0000062
