miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.188920	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.377839	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.566759	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	2.455954	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.188920	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	143	27.015493	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4840	914.370523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9156	1729.747212	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	31846	6016.331338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	354	66.877513	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	1.133517	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.377839	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	1.511356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.188920	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	0.755678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.377839	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	21	3.967310	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	41	7.745701	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	20	3.778391	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.188920	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.188920	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.188920	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	7	1.322437	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	5	0.944598	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	16	3.022712	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	8	1.511356	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.377839	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.377839	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	302	57.053698	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.188920	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	9	1.700276	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	1.511356	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	31795	6006.696442	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.566759	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.188920	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	9278	1752.795395	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.566759	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.188920	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.188920	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4827	911.914569	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.377839	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	160	30.227125	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.188920	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.188920	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.566759	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.188920	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.755678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	80	15.113562	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	114	21.536826	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	72	13.602206	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	163	30.793883	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4959	936.851947	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9135	1725.779902	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	31834	6014.064303	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	365	68.955628	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.377839	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.188920	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.188920	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	7	1.322437	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.188920	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.188920	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.188920	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	4	0.755678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	0.566759	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	17	3.211632	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	28	5.289747	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	33	6.234344	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	3	0.566759	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	5	0.944598	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.566759	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.188920	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.188920	N	precursor
hsa-let-7b	hg38:chr22:46113673-46113691:+	1	0.188920	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	16	3.022712	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	29	5.478666	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1076	203.277414	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	18444	3484.431803	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	8876	1676.849744	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	39512	7464.588451	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2441	461.152572	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.188920	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.188920	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.188920	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.188920	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	0.566759	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.188920	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.188920	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	9	1.700276	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.188920	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.188920	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.188920	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113763:+	2	0.377839	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.188920	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	14	2.644873	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	79	14.924643	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.188920	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.188920	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	4	0.755678	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	30	5.667586	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	14	2.644873	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	18	3.400552	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	155	29.282527	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	999	188.730610	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	621	117.319028	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	3107	586.972978	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	140	26.448734	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.188920	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.188920	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	12	2.267034	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	32	6.045425	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178861:+	1	0.188920	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.188920	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.188920	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.188920	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	119	22.481424	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	219	41.373377	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	1021	192.886840	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	35	6.612184	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.188920	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	8	1.511356	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.188920	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	5	0.944598	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	240	45.340687	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	777	146.790474	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1739	328.531062	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	8	1.511356	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	10	1.889195	N	mature,MIMAT0004484
