miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.090932	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.181864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	0.636522	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	1.182113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	26	2.364226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	738	67.107637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	20475	1861.827739	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	40417	3675.188852	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	76501	6956.370397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2080	189.138056	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	68	6.183360	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	15	1.363976	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	29	2.637021	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	86	7.820131	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.090932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.090932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.181864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	32	2.909816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	76	6.910814	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	11	1.000249	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.090932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.272795	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	29	2.637021	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.090932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	7	0.636522	N	mature,MIMAT0000062
