miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.234863	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.823242	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	1.234863	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	100	20.581044	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3968	816.655827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7851	1615.817767	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	18288	3763.861333	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	493	101.464547	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	1.852294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.205810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.411621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	1.234863	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.205810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.617431	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	2.263915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.411621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.411621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.205810	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	14	2.881346	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	20	4.116209	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	16	3.292967	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.205810	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.411621	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.411621	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.205810	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	30	6.174313	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.234863	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.411621	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	1.440673	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.205810	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	514	105.786566	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.411621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	13	2.675536	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.411621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	1.646484	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	18340	3774.563476	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.411621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	5	1.029052	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.205810	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7918	1629.607067	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.617431	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.411621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3997	822.624330	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	109	22.433338	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.205810	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.411621	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.205810	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	8	1.646484	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	44	9.055659	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	85	17.493887	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	56	11.525385	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	92	18.934561	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3933	809.452462	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7809	1607.173729	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	18452	3797.614245	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	522	107.433050	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.205810	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.411621	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	8	1.646484	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.205810	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.411621	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	11	2.263915	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.205810	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	8	1.646484	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	25	5.145261	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	17	3.498777	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.205810	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.411621	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.205810	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.411621	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.205810	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.205810	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	8	1.646484	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	23	4.733640	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	395	81.295124	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	9906	2038.758222	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4206	865.638712	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	10924	2248.273250	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2598	534.695524	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.205810	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.205810	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	9	1.852294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	10	2.058104	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	4	0.823242	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.205810	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.411621	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	0.411621	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.205810	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	2	0.411621	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.205810	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	5	1.029052	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	45	9.261470	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113767:+	1	0.205810	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	6	1.234863	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	12	2.469725	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	38	7.820797	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	24	4.939451	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	33	6.791745	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	213	43.837624	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1218	250.677116	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1051	216.306773	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	4824	992.829564	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	281	57.832734	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.411621	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.205810	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	4	0.823242	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.205810	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.205810	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	1	0.205810	N	stemloop
hsa-let-7c	hg38:chr21:16539870-16539893:+	1	0.205810	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539904:+	1	0.205810	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.205810	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	0.411621	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	14	2.881346	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	74	15.229973	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178861:+	1	0.205810	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	0.411621	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	71	14.612541	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	153	31.488997	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	455	93.643750	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	28	5.762692	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	4	0.823242	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178865:+	1	0.205810	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.205810	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	66	13.583489	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	253	52.070041	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	746	153.534589	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	7	1.440673	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	22	4.527830	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	64	13.171868	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	10	2.058104	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	9	1.852294	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	250	51.452610	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	971	199.841938	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2673	550.131307	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	86	17.699698	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	7	1.440673	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.205810	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692858:+	1	0.205810	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	5	1.029052	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	13	2.675536	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	29	5.968503	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.205810	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	1	0.205810	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	4	0.823242	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	26	5.351071	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	26	5.351071	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	955	196.548971	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	3910	804.718822	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	12492	2570.984021	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	76	15.641593	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	1	0.205810	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176382:+	1	0.205810	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	1	0.205810	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	2	0.411621	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	6	1.234863	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	6	1.234863	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	7	1.440673	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176431:+	1	0.205810	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	2	0.411621	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.205810	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557240-53557263:-	1	0.205810	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	1	0.205810	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	388	79.854451	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	7	1.440673	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	12329	2537.436919	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	5	1.029052	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557266:-	1	0.205810	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	3977	818.508121	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	4	0.823242	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	995	204.781388	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	21	4.322019	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	18	3.704588	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	6	1.234863	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	1	0.205810	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	2	0.411621	N	precursor
hsa-let-7g	hg38:chr3:52268279-52268301:-	5	1.029052	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	75	15.435783	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268302:-	1	0.205810	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	2	0.411621	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	84	17.288077	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268354:-	1	0.205810	N	mature,MIMAT0000414
