miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.506345	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.506345	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	1.265862	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	4.303929	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	90	22.785508	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4259	1078.260878	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10370	2625.396879	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22718	5751.568592	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	801	202.791022	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	30	7.595169	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.253172	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	1.012689	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.759517	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.759517	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.253172	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.253172	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.253172	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.253172	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	14	3.544412	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	24	6.076135	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	3	0.759517	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.253172	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.253172	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	2.278551	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.519034	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.253172	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	5	1.265862	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	18	4.557102	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	806	204.056884	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	1.012689	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	1.012689	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22522	5701.946819	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	1.265862	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.506345	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.253172	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.253172	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.253172	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10334	2616.282676	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.759517	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4265	1079.779912	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	114	28.861644	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	22	5.569791	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	7	1.772206	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	11	2.784895	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146613:-	1	0.253172	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146614:-	1	0.253172	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146615:-	2	0.506345	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	21	5.316619	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	31	7.848342	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	15	3.797585	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	93	23.545025	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4235	1072.184743	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	10439	2642.865769	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	22905	5798.911815	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	736	186.334822	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.759517	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.506345	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.253172	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.253172	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.253172	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	6	1.519034	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.253172	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.506345	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112796-46112818:+	1	0.253172	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	13	3.291240	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	31	7.848342	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	5	1.265862	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.253172	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.253172	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.253172	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.253172	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	1.519034	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	15	3.797585	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	432	109.370439	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	5525	1398.777026	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2418	612.170651	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	6494	1644.100997	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1972	499.255800	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.506345	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.506345	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.253172	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.253172	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.253172	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	0.759517	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.253172	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	16	4.050757	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	55	13.924477	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.253172	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	12	3.038068	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	34	8.607859	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	37	9.367376	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	42	10.633237	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.506345	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	203	51.393979	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1021	258.488931	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1129	285.831541	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	5683	1438.778251	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	355	89.876171	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	7	1.772206	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.253172	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.253172	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	0.506345	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539861:+	1	0.253172	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	3	0.759517	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	9	2.278551	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	5	1.265862	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178820-94178841:+	1	0.253172	N	precursor
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.253172	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	76	19.241096	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	176	44.558327	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	400	101.268925	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	41	10.380065	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.253172	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.506345	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178865:+	1	0.253172	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.253172	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	88	22.279163	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	213	53.925703	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	468	118.484642	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	7	1.772206	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	9	2.278551	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	35	8.861031	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	3	0.759517	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	5	1.265862	N	mature,MIMAT0000066
