miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.256504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	3.078050	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	4.360571	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	3	0.769513	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	83	21.289847	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3483	893.404046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12084	3099.596468	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	31718	8135.799467	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1834	470.428660	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	134	34.371560	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.256504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	1.539025	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	1.539025	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.513008	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.256504	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.539025	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	19	4.873579	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	17	4.360571	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.256504	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	1.539025	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.256504	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	25	6.412604	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1692	434.005066	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.256504	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	7	1.795529	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	31563	8096.041320	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	9	2.308538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.256504	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11983	3073.689546	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.513008	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3577	917.515439	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.256504	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	81	20.776838	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	3	0.769513	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.256504	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.256504	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	6	1.539025	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.256504	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	28	7.182117	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	49	12.568705	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	35	8.977646	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.256504	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	104	26.676434	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3501	898.021122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	12212	3132.429002	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	31641	8116.048646	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1812	464.785568	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	7	1.795529	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	0.769513	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	10	2.565042	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.513008	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.256504	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.256504	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.256504	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	1.795529	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	16	4.104067	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	12	3.078050	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.256504	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.256504	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	5	1.282521	N	mature,MIMAT0000063
