miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.138542	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.138542	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.415627	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	1.662506	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	20	2.770844	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	416	57.633558	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11392	1578.272814	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11825	1638.261589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	33217	4601.956465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	688	95.317038	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	2.216675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.138542	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.138542	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175991:+	1	0.138542	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.277084	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.138542	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	0.831253	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.138542	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.138542	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.277084	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	15	2.078133	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.277084	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	4	0.554169	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.138542	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	2	0.277084	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175992:+	1	0.138542	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.138542	N	stemloop
hsa-let-7a-1	hg38:chr9:94176009-94176031:+	2	0.277084	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.138542	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	26	3.602097	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	30	4.156266	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	1.662506	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.138542	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.277084	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.415627	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.138542	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	19	2.632302	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	0.692711	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.138542	N	mature,MIMAT0010195
