miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.669216	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.446144	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.669216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	1.784575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	113	25.207122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2363	527.118848	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6735	1502.389100	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	15264	3404.969149	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	567	126.481755	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	42	9.369019	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	1.561503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	18	4.015294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.669216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	11	2.453791	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	32	7.138300	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.669216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	4	0.892288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	18	4.015294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.446144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175986:+	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.223072	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	0.892288	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	12	2.676863	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	1.115359	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.223072	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.223072	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	0.892288	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.223072	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	2.007647	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.446144	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	664	148.119727	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	18	4.015294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	27	6.022941	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	21	4.684509	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	15366	3427.722481	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.669216	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	6	1.338431	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	0.892288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6693	1493.020081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.446144	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146588:-	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.446144	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2292	511.280745	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	110	24.537907	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	4	0.892288	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	19	4.238366	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	28	6.246013	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	17	3.792222	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	105	23.422547	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2343	522.657411	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6565	1464.466881	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	15121	3373.069871	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	622	138.750708	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	6	1.338431	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	12	2.676863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	8	1.784575	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	39	8.699803	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.223072	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.446144	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	20	4.461438	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	2	0.446144	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.223072	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	1.115359	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	14	3.123006	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	1	0.223072	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113709:+	6	1.338431	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	170	37.922219	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	2826	630.401128	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	926	206.564559	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	2178	485.850551	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	555	123.804892	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.669216	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.223072	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	0.892288	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	2	0.446144	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.223072	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	0.669216	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	5	1.115359	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.223072	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113759:+	1	0.223072	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	5	1.115359	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	8	1.784575	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	3	0.669216	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.223072	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	29	6.469084	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	16	3.569150	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	23	5.130653	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	235	52.421891	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	794	177.119071	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	867	193.403318	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	3427	764.467327	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	279	62.237054	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	4	0.892288	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.223072	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	6	1.338431	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.669216	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.223072	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.446144	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539865-16539887:+	2	0.446144	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	6	1.338431	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	13	2.899934	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.223072	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	19	4.238366	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	51	11.376666	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	87	19.407253	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	14	3.123006	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	2	0.446144	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	2	0.446144	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	1	0.223072	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.223072	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178913:+	3	0.669216	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	30	6.692156	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	110	24.537907	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	299	66.698492	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	0.669216	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	3	0.669216	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	9	2.007647	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	38	8.476731	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178916:+	1	0.223072	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	1	0.223072	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.223072	N	precursor
hsa-let-7e	hg38:chr19:51692774-51692793:+	1	0.223072	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692811:+	12	2.676863	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	8	1.784575	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	179	39.929866	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	790	176.226784	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2100	468.450944	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	55	12.268953	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	1	0.223072	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	2	0.446144	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	10	2.230719	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692860:+	1	0.223072	N	mature,MIMAT0004485
