miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.522077	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.174026	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.348052	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	1.914284	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	146	25.407764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3861	671.913544	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8657	1506.541194	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	34170	5946.460968	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	642	111.724552	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	15	2.610387	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.348052	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.522077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	1.392206	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	1.914284	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.174026	N	stemloop
hsa-let-7a-1	hg38:chr9:94176011-94176034:+	1	0.174026	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	1.566232	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	24	4.176619	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	2.262335	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.696103	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.174026	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.174026	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	12	2.088309	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.522077	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.174026	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	15	2.610387	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	566	98.498593	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.348052	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	0.870129	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	1.566232	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	34230	5956.902515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.696103	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.522077	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8560	1489.660693	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.348052	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3911	680.614833	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	159	27.670099	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.174026	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	8	1.392206	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.174026	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	4	0.696103	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112774:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.522077	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	32	5.568825	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	63	10.963624	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	31	5.394799	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	149	25.929842	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3958	688.794045	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	8425	1466.167213	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	34334	5975.001196	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	628	109.288191	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	4	0.696103	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	6	1.044155	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.348052	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	12	2.088309	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	0.522077	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.174026	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	11	1.914284	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	21	3.654541	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	18	3.132464	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.174026	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.348052	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.174026	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.174026	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	16	2.784413	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	19	3.306490	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	470	81.792118	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	7884	1372.019265	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4604	801.214700	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	19225	3345.645657	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2802	487.620241	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	4	0.696103	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.348052	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.174026	N	mature,MIMAT0000063
