miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.530801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	1	0.530801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	28	14.862438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1143	606.705932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2519	1337.088576	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	10870	5769.810568	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	542	287.694326	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	39	20.701252	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.530801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	1.592404	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	11	5.838815	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	3.184808	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	1.061603	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	15	7.962020	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	566	300.433559	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.530801	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	10937	5805.374257	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.061603	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2495	1324.349344	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	1.061603	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1089	578.042659	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	27	14.331636	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	14	7.431219	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	17	9.023623	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	11	5.838815	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	29	15.393239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1056	560.526215	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2438	1294.093667	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	10948	5811.213072	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	497	263.808266	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.530801	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	1.592404	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.530801	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.530801	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	15	7.962020	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	10	5.308013	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.530801	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	1	0.530801	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	239	126.861520	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4095	2173.631488	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1888	1002.152930	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5168	2743.181326	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	996	528.678135	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.530801	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.530801	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.530801	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.530801	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	2.123205	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	15	7.962020	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539858:+	7	3.715609	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	3	1.592404	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	6	3.184808	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	30	15.924040	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	157	83.335810	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	166	88.113022	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1054	559.464613	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	51	27.070868	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.530801	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	1.061603	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	1	0.530801	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	2	1.061603	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539907:+	1	0.530801	N	mature,MIMAT0026472
