miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175937-94175962:+	1	0.289888	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.579776	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.159552	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	3.478655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.289888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	33	9.566302	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1660	481.213958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4439	1286.812505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	15244	4419.051550	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1107	320.905935	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	84	24.350586	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.289888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.289888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.289888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.289888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.289888	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	1.449440	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	12	3.478655	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	2.319103	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.289888	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.289888	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.869664	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146521-122146545:-	1	0.289888	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	3	0.869664	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	4.348319	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.289888	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.289888	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.289888	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	16	4.638207	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.289888	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.289888	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1095	317.427279	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.579776	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.289888	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.579776	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	15115	4381.656008	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	11	3.188767	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.579776	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4283	1241.589989	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	8	2.319103	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1525	442.079088	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.869664	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	24	6.957310	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	11	3.188767	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.579776	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.869664	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146615:-	1	0.289888	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	8	2.319103	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	44	12.755069	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	34	9.856189	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.289888	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	40	11.595517	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1553	450.195950	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4378	1269.129342	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	15341	4447.170679	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1152	333.950891	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	5	1.449440	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.289888	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.579776	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.289888	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.289888	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	6	1.739328	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	25	7.247198	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	3.768543	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.289888	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.869664	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	0.869664	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	6	1.739328	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	145	42.033749	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3738	1083.601069	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1553	450.195950	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	7150	2072.698674	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3983	1154.623611	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	4	1.159552	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	0.579776	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.579776	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.289888	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.289888	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	6	1.739328	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	35	10.146077	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.289888	N	mature,MIMAT0004482
