miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.165013	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.495038	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.165013	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	0.990077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.330026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	1.650128	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.165013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	175	28.877235	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7686	1268.288159	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	13408	2212.491236	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	26562	4383.069228	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	970	160.062388	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	62	10.230792	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.165013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	1.320102	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.330026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.165013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	1.485115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.165013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.165013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.165013	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.165013	N	stemloop
hsa-let-7a-1	hg38:chr9:94176012-94176034:+	1	0.165013	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	18	2.970230	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	48	7.920613	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	16	2.640204	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	4	0.660051	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.330026	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.330026	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	0.825064	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.165013	N	mature,MIMAT0004481
