miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.892437	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.446218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.446218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	3.123529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	40	17.848736	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1024	456.927652	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3438	1534.098895	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	18204	8122.959945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	323	144.128547	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	2.231092	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.446218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	1.338655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.892437	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.892437	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	4.462184	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	16	7.139495	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	2.677310	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.892437	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.446218	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	3.123529	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	322	143.682328	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.446218	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	2.231092	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	18039	8049.333907	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	2.677310	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3475	1550.608977	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.446218	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1048	467.636894	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	24	10.709242	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.446218	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.446218	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	12	5.354621	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	34	15.171426	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	29	12.940334	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.892437	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	26	11.601679	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1037	462.728492	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3472	1549.270321	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	17999	8031.485171	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	319	142.343673	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	1.784874	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.446218	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.892437	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.446218	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.446218	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112797-46112820:+	1	0.446218	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	1.338655	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	4	1.784874	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	8	3.569747	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.892437	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.892437	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.446218	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	0.892437	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	2	0.892437	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	144	64.255451	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3991	1780.857676	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2309	1030.318310	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	11748	5242.173887	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1242	554.203266	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.892437	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.446218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.446218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.892437	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.446218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	1.338655	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	1.784874	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	29	12.940334	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539858:+	9	4.015966	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	16	7.139495	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	37	16.510081	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	54	24.095794	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	294	131.188213	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	460	205.260469	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	7369	3288.183467	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	138	61.578141	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	3	1.338655	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539864:+	1	0.446218	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	3	1.338655	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.446218	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539882:+	1	0.446218	N	stemloop
hsa-let-7c	hg38:chr21:16539883-16539904:+	7	3.123529	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	25	11.155460	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	2	0.892437	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	1	0.446218	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.446218	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	30	13.386552	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	63	28.111760	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	440	196.336101	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	24	10.709242	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.446218	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	1	0.446218	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.446218	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	12	5.354621	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	128	57.115957	N	mature,MIMAT0004484
