miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.225122	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.675365	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	1.125608	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.575851	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	21	4.727553	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.450243	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	145	32.642630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4619	1039.836616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11727	2640.000864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	43685	9834.436579	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	923	207.787226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	19	4.277310	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.225122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	1.800973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.450243	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.225122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	2.476337	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.450243	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.225122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.225122	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	16	3.601945	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	32	7.203891	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	2.701459	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.225122	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.225122	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	3.376824	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.450243	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.225122	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	23	5.177797	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	944	212.514779	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.450243	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	16	3.601945	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.450243	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	7	1.575851	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	43476	9787.386167	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	1.125608	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.675365	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11753	2645.854026	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	0.900486	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4641	1044.789291	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.225122	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	135	30.391414	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.675365	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.450243	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.450243	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.225122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	36	8.104377	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	74	16.658998	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	50	11.256079	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.225122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	137	30.841658	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4573	1029.481023	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	11604	2612.310909	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	43434	9777.931061	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	903	203.284794	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.225122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.450243	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	8	1.800973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.225122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.450243	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	1.575851	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.450243	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.450243	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.225122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	1.575851	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	28	6.303404	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	10	2.251216	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.675365	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.225122	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.225122	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	8	1.800973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	25	5.628040	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	464	104.456417	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	7232	1628.079326	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5997	1350.054164	N	mature,MIMAT0000063
