miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.143587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	0.861521	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	1.579456	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	2.153803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	634	91.034077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	15063	2162.849051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	34596	4967.531419	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	65653	9426.908898	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1676	240.651597	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	49	7.035757	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	16	2.297390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	20	2.871737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	88	12.635645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.143587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.143587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.143587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	39	5.599888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	120	17.230425	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.430761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.143587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	7	1.005108	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	57	8.184452	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	6	0.861521	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.143587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.143587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.287174	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.143587	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176012-94176035:+	1	0.143587	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.143587	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	16	2.297390	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	44	6.317822	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	43	6.174235	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.287174	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	2	0.287174	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.287174	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.287174	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.430761	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.143587	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	51	7.322930	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	11	1.579456	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	8	1.148695	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	3	0.430761	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	2	0.287174	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	17	2.440977	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	4	0.574347	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	15	2.153803	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146588:-	1	0.143587	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	8	1.148695	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1677	240.795184	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	64	9.189560	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	117	16.799664	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	85	12.204884	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	65247	9368.612628	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	10	1.435869	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	16	2.297390	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	44	6.317822	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.143587	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	24	3.446085	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	34784	4994.525751	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	12	1.723042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	9	1.292282	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	14913	2141.311020	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	0.574347	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	650	93.331467	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.143587	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.430761	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	6	0.861521	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.287174	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.287174	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	2	0.287174	N	mature,MIMAT0000062
