miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	1.048916	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.524458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.786687	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	0.524458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	67	17.569342	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3011	789.571468	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6310	1654.664883	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	14395	3774.786211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	702	184.084746	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	39	10.226930	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.262229	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.262229	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	2.622290	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.262229	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.786687	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.262229	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.573374	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	2.622290	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	3	0.786687	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	1.573374	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.524458	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.786687	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	2.097832	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	650	170.448839	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.524458	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	10	2.622290	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.262229	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	14326	3756.692411	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.262229	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6210	1628.441985	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.262229	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.262229	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2842	745.254770	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	76	19.929403	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146609:-	1	0.262229	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	10	2.622290	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.262229	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.262229	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.786687	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	20	5.244580	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	21	5.506809	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	9	2.360061	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	75	19.667174	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2881	755.481700	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6272	1644.700182	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	14684	3850.570387	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	669	175.431190	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.262229	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.262229	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.262229	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	9	2.360061	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	1.835603	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	11	2.884519	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	3	0.786687	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.262229	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.262229	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.262229	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.262229	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	1.573374	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	11	2.884519	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	207	54.281399	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3438	901.543244	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1417	371.578469	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	4079	1069.632022	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1485	389.410040	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.262229	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.262229	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	0.786687	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.262229	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.262229	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.262229	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	21	5.506809	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	49	12.849220	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.524458	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	0.524458	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	18	4.720122	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	20	5.244580	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	25	6.555725	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.524458	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	144	37.760974	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	637	167.039862	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	569	149.208291	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	2612	684.942104	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	270	70.801825	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	4	1.048916	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.262229	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.262229	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	1	0.262229	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539870-16539892:+	1	0.262229	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	3	0.786687	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	12	3.146748	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	16	4.195664	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.262229	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178823-94178841:+	1	0.262229	N	precursor
hsa-let-7d	hg38:chr9:94178840-94178861:+	1	0.262229	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	35	9.178014	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	93	24.387295	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	226	59.263750	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	23	6.031267	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.262229	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	1	0.262229	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	67	17.569342	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	268	70.277367	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	582	152.617268	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	5	1.311145	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	0.524458	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	25	6.555725	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	52	13.635907	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.262229	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	1	0.262229	N	mature,MIMAT0000066
