miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.446796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.191456	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	1.489320	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.148932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	495	73.721337	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11895	1771.546066	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	20906	3113.572262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	28146	4191.839897	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1184	176.335481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	63	9.382716	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.148932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.595728	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	10	1.489320	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	38	5.659416	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.297864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.148932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.297864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.297864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.297864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	13	1.936116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	48	7.148736	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	0.744660	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	2	0.297864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.446796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	1.042524	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	3	0.446796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	2	0.297864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.148932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.148932	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.148932	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.297864	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	48	7.148736	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	116	17.276111	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	40	5.957280	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.148932	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	3	0.446796	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.297864	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.148932	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176034:+	1	0.148932	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.148932	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	27	4.021164	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	20	2.978640	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	13	1.936116	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.148932	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	23	3.425436	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.148932	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	5	0.744660	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	5	0.744660	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1230	183.186352	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.297864	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	16	2.382912	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	37	5.510484	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.297864	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	29	4.319028	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	27857	4148.798551	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.148932	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146592:-	1	0.148932	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	9	1.340388	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	16	2.382912	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	9	1.340388	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	20200	3008.426274	N	mature,MIMAT0000062
