miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.295237	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.590474	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	2.066658	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	60	17.714211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1966	580.435657	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4828	1425.403537	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	14684	4335.257982	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	194	57.275950	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	2.066658	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.180947	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.590474	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	18	5.314263	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.590474	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	23	6.790448	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.295237	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.885711	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.295237	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.295237	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	3	0.885711	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	2	0.590474	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.295237	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.295237	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	2.952369	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.590474	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.295237	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.295237	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.295237	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	197	58.161660	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	10	2.952369	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	25	7.380921	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.590474	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	22	6.495211	N	mature,MIMAT0000062
