miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.258091	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	0.516182	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	81	10.452693	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3104	400.557529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8016	1034.429494	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	19699	2542.069187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	377	48.650190	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	0.903319	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.387137	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	0.645228	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	19	2.451866	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	1.548547	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.387137	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.516182	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	17	2.193775	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.258091	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.129046	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.129046	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	346	44.649776	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.387137	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	19646	2535.229770	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8166	1053.786333	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.387137	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3229	416.688228	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	80	10.323648	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.129046	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	40	5.161824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	65	8.387964	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	50	6.452280	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.258091	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	87	11.226967	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3197	412.558769	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	8000	1032.364764	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	19907	2568.910671	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	315	40.649363	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.387137	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.258091	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.129046	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.129046	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	0.903319	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	14	1.806638	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	16	2.064730	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.129046	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.129046	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.258091	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.129046	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.129046	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.129046	N	mature,MIMAT0004481
