miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.144594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.144594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.289189	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	22	3.181075	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	18	2.602698	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.289189	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	697	100.782255	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	22779	3293.714484	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	44030	6366.488816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	67677	9785.711187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1507	217.903671	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	47	6.795934	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	1.012160	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	26	3.759453	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	59	8.531066	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.144594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	8	1.156755	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.433783	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.144594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.289189	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	67	9.687821	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	151	21.833745	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	8	1.156755	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.144594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	2	0.289189	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	10	1.445943	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	48	6.940528	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.289189	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.144594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.144594	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	39	5.639179	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	57	8.241877	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	3.036481	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.144594	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.144594	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.144594	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176037:+	1	0.144594	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.144594	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	0.722972	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.289189	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	16	2.313509	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.144594	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	11	1.590538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1605	232.073917	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	0.433783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	47	6.795934	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	153	22.122934	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	3	0.433783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	51	7.374311	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	67219	9719.486979	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	0.867566	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	10	1.445943	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	87	12.579708	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	3	0.433783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	23	3.325670	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	43790	6331.786174	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	0.722972	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	3	0.433783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	10	1.445943	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	22748	3289.232059	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.289189	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	775	112.060614	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.144594	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	1	0.144594	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.289189	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.289189	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.144594	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	8	1.156755	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	7	1.012160	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	117	16.917538	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	129	18.652670	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	58	8.386472	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	697	100.782255	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	22874	3307.450946	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	43921	6350.728033	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	67029	9692.014055	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1502	217.180700	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	14	2.024321	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	23	3.325670	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	43	6.217557	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	3	0.433783	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	6	0.867566	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	5	0.722972	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.144594	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	71	10.266198	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	138	19.954019	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	7	1.012160	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	9	1.301349	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	44	6.362151	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	4	0.578377	N	mature,MIMAT0000062
