miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.233380	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.466760	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.466760	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.933520	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.633659	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	89	20.770812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3767	879.142114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7603	1774.387442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	20115	4694.436853	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	620	144.695543	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	24	5.601118	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.700140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	1.166900	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	11	2.567179	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	25	5.834498	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	11	2.567179	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.700140	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.233380	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	20	4.667598	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.233380	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.700140	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	12	2.800559	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	574	133.960067	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	6	1.400279	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	20071	4684.168137	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.466760	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7541	1759.917888	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	0.933520	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3802	887.310411	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	98	22.871231	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.233380	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.466760	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.466760	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	43	10.035336	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	62	14.469554	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	41	9.568576	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	87	20.304052	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3633	847.869206	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7464	1741.947635	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	19990	4665.264365	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	664	154.964259	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.700140	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.466760	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	1.867039	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	4	0.933520	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.233380	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	11	2.567179	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	21	4.900978	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	8	1.867039	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.233380	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.233380	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.466760	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.233380	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	0.933520	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	21	4.900978	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	401	93.585343	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	8377	1955.023491	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4040	942.854829	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	11917	2781.188366	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2969	692.904947	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.700140	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.700140	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	0.933520	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.233380	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	0.933520	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	2	0.466760	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.233380	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.233380	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	8	1.867039	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	50	11.668995	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.233380	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.233380	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.233380	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	6	1.400279	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	17	3.967458	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	24	5.601118	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	21	4.900978	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.233380	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	117	27.305449	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	642	149.829901	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	692	161.498896	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	2936	685.203410	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	218	50.876820	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.233380	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	3	0.700140	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.233380	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	10	2.333799	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	14	3.267319	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	3	0.700140	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	71	16.569973	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	90	21.004192	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	318	74.214811	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	30	7.001397	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.233380	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	1	0.233380	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	67	15.636454	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	213	49.709920	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	686	160.098617	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	5	1.166900	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	7	1.633659	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	10	2.333799	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	48	11.202236	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692771-51692793:+	1	0.233380	N	precursor
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.233380	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.233380	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	5	1.166900	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	11	2.567179	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	304	70.947492	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1150	268.386894	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	3563	831.532613	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	101	23.571371	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	17	3.967458	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692858:+	1	0.233380	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.233380	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	4	0.933520	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	8	1.867039	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	22	5.134358	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	3	0.700140	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	16	3.734079	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	14	3.267319	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	828	193.238564	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	3096	722.544196	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	10602	2474.293787	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	69	16.103214	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	3	0.700140	N	mature,MIMAT0000067
