miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.122404	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.367213	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.367213	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	1.591258	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	22	2.692899	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	252	30.845931	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8543	1045.701552	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	23174	2836.601635	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	60951	7460.676028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	850	104.043816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	21	2.570494	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.122404	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.122404	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	22	2.692899	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.122404	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	0.489618	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	1.346449	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.244809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.244809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.122404	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.122404	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.122404	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.122404	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	25	3.060112	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	78	9.547550	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	46	5.630607	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	3	0.367213	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	7	0.856831	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	7	0.856831	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.122404	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146544:-	1	0.122404	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	56	6.854651	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	17	2.080876	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.122404	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.244809	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	0.734427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.122404	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	853	104.411029	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.122404	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.244809	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	11	1.346449	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.122404	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	15	1.836067	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	60768	7438.276006	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	11	1.346449	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.122404	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.244809	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.122404	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	22768	2786.905413	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	0.734427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	8503	1040.805373	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	8	0.979236	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	277	33.906044	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	4	0.489618	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.122404	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.244809	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.122404	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	5	0.612022	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.122404	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	113	13.831707	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	209	25.582538	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	94	11.506022	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.122404	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	277	33.906044	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	8532	1044.355103	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	22904	2803.552423	N	mature,MIMAT0000062
