miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.307423	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.614846	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.844539	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	3.381654	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	65	19.982501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2471	759.642479	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10299	3166.150503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	36183	11123.490015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2680	823.893907	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	175	53.799042	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	1.844539	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	2	0.614846	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.922269	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.229692	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	21	6.455885	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	2.151962	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.614846	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.307423	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.922269	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.614846	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	41	12.604347	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2689	826.660715	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.922269	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	1.229692	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	36304	11160.688210	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10560	3246.387932	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2368	727.977900	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.614846	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	50	15.371155	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112770:+	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	20	6.148462	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	59	18.137963	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	48	14.756309	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	44	13.526616	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2410	740.889670	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	10320	3172.606388	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	36332	11169.296056	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	2761	848.795178	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	1.229692	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.614846	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.922269	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	4	1.229692	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.307423	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	2.766808	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	15	4.611346	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	7	2.151962	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.307423	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.307423	N	mature,MIMAT0004481
