miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	0.977022	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	1.791208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	2.768230	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	153	24.914071	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6405	1042.971399	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17189	2799.006303	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	34012	5538.414241	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	615	100.144795	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	15	2.442556	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.162837	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	1.302697	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.162837	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	1.628371	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.162837	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.162837	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.325674	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.162837	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.162837	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	26	4.233764	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	65	10.584409	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	33	5.373623	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.162837	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.488511	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	6	0.977022	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176034:+	1	0.162837	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	30	4.885112	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	7	1.139859	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.162837	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.162837	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	1.465534	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	602	98.027913	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.162837	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	0.651348	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	0.651348	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.162837	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	11	1.791208	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	33754	5496.402278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.651348	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.325674	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	16952	2760.413919	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	7	1.139859	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6282	1022.942440	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	157	25.565419	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.162837	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.162837	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.162837	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.488511	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.651348	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	71	11.561432	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	125	20.354633	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	45	7.327668	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.325674	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	169	27.519464	N	mature,MIMAT0000062
