miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	3	0.270764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	0.902548	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	31	2.797900	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	60	5.415290	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.090255	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	774	69.857235	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	21056	1900.405605	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	56743	5121.329562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	119911	10822.546377	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	4079	368.149433	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	153	13.808988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	14	1.263568	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	35	3.158919	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	103	9.296247	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.180510	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.270764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	0.361019	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.090255	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.361019	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	43	3.880957	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	149	13.447969	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	11	0.992803	N	mature,MIMAT0000062
