miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.548924	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	0.914873	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	1.829746	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	25	4.574365	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	141	25.799421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5206	952.565844	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17249	3156.129128	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	50014	9151.292377	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2717	497.142028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	192	35.131126	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	0.914873	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	0.731898	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.182975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	2.012721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.182975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.365949	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.182975	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	19	3.476518	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	51	9.331705	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	41	7.501959	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.182975	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.182975	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.365949	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	18	3.293543	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.097848	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146548:-	1	0.182975	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.182975	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	32	5.855188	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.182975	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2789	510.316200	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.548924	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.548924	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	1.646772	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	50312	9205.818812	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.548924	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.548924	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.182975	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	17186	3144.601727	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.548924	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.182975	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5208	952.931793	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.182975	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	148	27.080243	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.182975	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.548924	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.548924	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112773:+	3	0.548924	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.182975	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	69	12.625248	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	131	23.969675	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	77	14.089045	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	138	25.250497	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5169	945.795783	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	17139	3136.001921	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	49986	9146.169088	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	2867	524.588220	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	8	1.463797	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	0.548924	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	6	1.097848	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	9	1.646772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.365949	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.182975	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	1.280822	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.182975	N	mature,MIMAT0004481
