miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	5	0.845559	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.338224	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.507335	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	1.691118	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	21	3.551348	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.169112	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	531	89.798380	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	10749	1817.783022	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	31862	5388.241012	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	75099	12700.129049	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	3105	525.092221	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	132	22.322761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.169112	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	14	2.367566	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	31	5.242467	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	104	17.587630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.169112	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	1.014671	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	26	4.396907	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.338224	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.169112	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.169112	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	19	3.213125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.169112	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	3	0.507335	N	stemloop
hsa-let-7a-1	hg38:chr9:94176007-94176031:+	1	0.169112	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	15	2.536677	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	39	6.595361	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	31	5.242467	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.338224	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.338224	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	2.536677	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146544:-	1	0.169112	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	11	1.860230	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.676447	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	3	0.507335	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	27	4.566019	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.169112	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.507335	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	5	0.845559	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	3210	542.848963	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	0.507335	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	13	2.198454	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	16	2.705789	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	109	18.433189	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	75639	12791.449435	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.676447	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.338224	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	0.676447	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	37	6.257138	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	31648	5352.051081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	1.014671	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.169112	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	4	0.676447	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	10607	1793.769142	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.338224	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.169112	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	553	93.518840	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	5	0.845559	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.507335	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.169112	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.169112	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.169112	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	0.676447	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.507335	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	56	9.470262	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	114	19.278748	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	43	7.271809	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.338224	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	553	93.518840	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	10638	1799.011609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	31955	5403.968412	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	76007	12853.682588	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	3201	541.326956	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.338224	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	9	1.522006	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	33	5.580690	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	139	23.506544	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	4	0.676447	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.169112	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	3	0.507335	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	8	1.352895	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	27	4.566019	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.338224	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	4	0.676447	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	15	2.536677	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.169112	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.338224	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.169112	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.169112	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	17	2.874901	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	27	4.566019	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	18	3.044013	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.338224	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.338224	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.169112	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.169112	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113687-46113713:+	1	0.169112	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113707:+	2	0.338224	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	14	2.367566	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	99	16.742071	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1318	222.889387	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	23225	3927.622168	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	11018	1863.274103	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	26565	4492.455668	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	6930	1171.944957	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	5	0.845559	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113709:+	1	0.169112	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.169112	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	15	2.536677	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	20	3.382237	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	72	12.176051	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	41	6.933585	N	mature,MIMAT0000063
