miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.414501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	2.487004	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	18	7.461013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	3	1.243502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	53	21.968539	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1509	625.481598	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8311	3444.915548	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	30634	12697.815291	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1299	538.436445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	72	29.844052	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.414501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.829001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	1.243502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.414501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.414501	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.829001	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	4.145007	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	3.730507	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.414501	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.829001	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	14	5.803010	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	2.487004	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.414501	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.414501	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146548:-	1	0.414501	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	38	15.751028	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.414501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.414501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1384	573.669007	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.414501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.414501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	0.829001	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	1.243502	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	30777	12757.088895	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	2.487004	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146592:-	1	0.414501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8045	3334.658354	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	1.658003	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1533	635.429615	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	53	21.968539	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.829001	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.414501	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	18	7.461013	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	74	30.673054	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	42	17.409031	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.414501	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	51	21.139537	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1527	632.942611	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	8321	3449.060555	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	30858	12790.663454	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1327	550.042466	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	1.243502	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	1.658003	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.414501	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	6	2.487004	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.414501	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.414501	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	10	4.145007	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	14	5.803010	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	0.829001	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	13	5.388509	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	207	85.801651	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3952	1638.106876	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2259	936.357144	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	11728	4861.264534	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4810	1993.748500	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	8	3.316006	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.414501	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	1.658003	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.414501	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.414501	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	5	2.072504	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	37	15.336527	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	6	2.487004	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	4	1.658003	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	2	0.829001	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	0.829001	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	25	10.362518	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	31	12.849523	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	57	23.626541	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	4	1.658003	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	101	41.864573	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	628	260.306457	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	750	310.875546	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	7671	3179.635082	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	880	364.760640	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	11	4.559508	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	6	2.487004	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539862:+	1	0.414501	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539870-16539893:+	1	0.414501	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539904:+	2	0.829001	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.414501	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	6	2.487004	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	19	7.875514	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	2	0.829001	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.414501	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	21	8.704515	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	56	23.212041	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	341	141.344748	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	53	21.968539	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.829001	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.414501	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	2	0.829001	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	9	3.730507	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	99	41.035572	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	484	200.618352	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	1.243502	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.414501	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	5	2.072504	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	15	6.217511	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	1	0.414501	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.414501	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	3	1.243502	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	1	0.414501	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	129	53.470594	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	550	227.975400	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2302	954.180675	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	120	49.740087	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	17	7.046512	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	1	0.414501	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.414501	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692858:+	1	0.414501	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692859:+	1	0.414501	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	2	0.829001	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	3	1.243502	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	15	6.217511	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692859:+	1	0.414501	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	3	1.243502	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	13	5.388509	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	14	5.803010	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	521	215.954879	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	3707	1536.554197	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	20572	8527.108969	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	102	42.279074	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	5	2.072504	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	1	0.414501	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176382:+	1	0.414501	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	2	0.829001	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	1	0.414501	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	0.414501	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	4	1.658003	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	14	5.803010	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	1145	474.603333	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557269:-	1	0.414501	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	1	0.414501	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	2	0.829001	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	20378	8446.695828	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	15	6.217511	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	3589	1487.643112	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	6	2.487004	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	499	206.835863	N	mature,MIMAT0000067
