miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.084945	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	7	0.594617	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	3	0.254836	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	0.594617	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	27	2.293523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	38	3.227921	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1215	103.208537	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	29707	2523.469961	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	74707	6346.008361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	112211	9531.796809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2498	212.193354	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	86	7.305296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	21	1.783851	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	42	3.567703	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	99	8.409584	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.254836	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	4	0.339781	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	9	0.764508	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.169891	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	84	7.135405	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	186	15.799825	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	8	0.679562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	18	1.529015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	65	5.521444	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	3	0.254836	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	7	0.594617	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.084945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	3	0.254836	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	2	0.169891	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.084945	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.084945	N	stemloop
