miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.200635	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.802541	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.203812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	1.203812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	287	57.582340	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7327	1470.055076	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	14964	3002.307106	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	23736	4762.280237	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	643	129.008518	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	32	6.420331	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.601906	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	2.206989	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.401271	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	1.003177	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	17	3.410801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.200635	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	13	2.608259	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.200635	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.200635	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	19	3.812071	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	53	10.633673	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	3.812071	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.200635	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.601906	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.200635	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	27	5.417154	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	15	3.009530	N	mature,MIMAT0010195
