miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175939-94175961:+	1	0.129252	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.129252	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	24	3.102046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	15	1.938779	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	0.258504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1988	256.952816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	47299	6113.486546	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	47534	6143.860747	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	48936	6325.071938	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	666	86.081778	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	1.292519	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	2	0.258504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	36	4.653069	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	50	6.462596	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	82	10.598657	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.387756	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	0.517008	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.517008	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	52	6.721100	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	151	19.517040	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	9	1.163267	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	5	0.646260	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	18	2.326535	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	66	8.530627	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.258504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.258504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	4	0.517008	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.258504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	3	0.387756	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176009-94176031:+	1	0.129252	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	4	0.517008	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	3	0.387756	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	57	7.367359	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	51	6.591848	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	2.714290	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	3	0.387756	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	0.517008	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.129252	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.129252	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	34	4.394565	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	21	2.714290	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	20	2.585038	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	4	0.517008	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	3	0.387756	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.129252	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146546:-	2	0.258504	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.129252	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.129252	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146547:-	2	0.258504	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146547-122146568:-	1	0.129252	N	stemloop
hsa-let-7a-2	hg38:chr11:122146564-122146585:-	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	1.034015	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.258504	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	3	0.387756	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	5	0.646260	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146588:-	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	0.387756	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	640	82.721229	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.258504	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	82	10.598657	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	146	18.870780	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	3	0.387756	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	76	9.823146	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	49236	6363.847514	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	0.775512	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	25	3.231298	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	72	9.306138	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.258504	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	39	5.040825	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	47452	6133.262090	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	12	1.551023	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	3	0.387756	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	4	0.517008	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	33	4.265313	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	46751	6042.656494	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	10	1.292519	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	2051	265.095687	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.258504	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146585-122146604:-	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	15	1.938779	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	5	0.646260	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	9	1.163267	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	23	2.972794	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	13	1.680275	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	120	15.510230	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	108	13.959207	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	25	3.231298	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	2046	264.449428	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	47119	6090.221200	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	47178	6097.847064	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	48785	6305.554899	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	619	80.006938	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.258504	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	3	0.387756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	36	4.653069	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	56	7.238107	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	73	9.435390	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	4	0.517008	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	4	0.517008	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	2	0.258504	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	6	0.775512	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	60	7.755115	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	157	20.292551	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	9	1.163267	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	18	2.326535	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	79	10.210902	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	6	0.775512	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	6	0.775512	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	2	0.258504	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112779:+	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.129252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112798-46112818:+	1	0.129252	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	3	0.387756	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	4	0.517008	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	71	9.176886	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	52	6.721100	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	1.680275	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.129252	N	mature,MIMAT0004481
