miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	0.612758	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.153190	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.153190	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.153190	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.072327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	2.144654	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1021	156.406517	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	18227	2792.185679	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	26277	4025.361447	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	31716	4858.559335	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	803	123.011198	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	26	3.982928	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	12	1.838274	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	36	5.514823	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	63	9.650941	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.459569	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	0.612758	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.306379	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	55	8.425424	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	139	21.293346	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	7	1.072327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.153190	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.153190	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	16	2.451033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	83	12.714732	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	10	1.531895	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.306379	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.153190	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	5	0.765948	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	2	0.306379	N	mature,MIMAT0000062
