miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175935-94175962:+	1	0.106431	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.319292	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	17	1.809322	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	39	4.150797	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.106431	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	186	19.796111	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5233	556.951867	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	23542	2505.591603	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	87469	9309.387135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2835	301.731042	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	96	10.217347	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.106431	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	0.745015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	22	2.341475	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.212861	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	0.532154	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	1.170738	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.106431	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.106431	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.212861	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.212861	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.212861	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.106431	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	0.532154	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	33	3.512213	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	56	5.960119	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.319292	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.106431	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	0.425723	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	13	1.383599	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	2	0.212861	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	0.319292	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	41	4.363659	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	0.532154	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	35	3.725075	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2923	311.096944	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.106431	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	7	0.745015	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	14	1.490030	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	3	0.319292	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	17	1.809322	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	87785	9343.019237	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	9	0.957876	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.212861	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	0.319292	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	24069	2561.680583	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	9	0.957876	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4975	529.492746	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	186	19.796111	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	5	0.532154	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.106431	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	7	0.745015	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	7	0.745015	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	6	0.638584	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	146	15.538883	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	437	46.510217	N	mature,MIMAT0000062
