miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.288927	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.288927	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.288927	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.288927	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.288927	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	2.889267	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.288927	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	106	30.626225	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3842	1110.056208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8006	2313.146798	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	18264	5276.956424	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1306	377.338211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	126	36.404759	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.288927	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.288927	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	1.733560	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.288927	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	1.444633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.288927	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	16	4.622826	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	31	8.956726	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	16	4.622826	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.577853	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	2	0.577853	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.577853	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.288927	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.577853	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.288927	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	12	3.467120	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	16	4.622826	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	8	2.311413	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.288927	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	14	4.044973	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.288927	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1375	397.274150	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.288927	N	mature,MIMAT0000062
