miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	24	10.802607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	56	25.206082	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1530	688.666175	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6470	2912.202715	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	54073	24338.722934	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1010	454.609697	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	39	17.554236	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	3.600869	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	2.700652	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176010:+	1	0.450109	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	12	5.401303	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	27	12.152933	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.450109	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	1.800434	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.450109	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	2.700652	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.450109	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	21	9.452281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	955	429.853724	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	1.350326	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	6	2.700652	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	53808	24219.444152	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.800434	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6567	2955.863250	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	1.350326	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1667	750.331055	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	54	24.305865	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.450109	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.450109	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	35	15.753801	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	101	45.460970	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	125	56.263576	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.900217	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	57	25.656191	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1597	718.823452	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6452	2904.100760	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	53982	24297.763050	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1011	455.059806	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	12	5.401303	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.450109	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	0.900217	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	17	7.651846	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	25	11.252715	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.450109	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.450109	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	4	1.800434	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	2	0.900217	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112825:+	1	0.450109	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.450109	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.450109	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	5	2.250543	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	15	6.751629	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	425	191.296160	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	6301	2836.134359	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6426	2892.397936	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	51549	23202.648799	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3212	1445.748859	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.450109	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.450109	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.450109	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	9	4.050978	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	1.800434	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.900217	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.450109	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113720-46113745:+	1	0.450109	N	stemloop
hsa-let-7b	hg38:chr22:46113745-46113765:+	5	2.250543	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	43	19.354670	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.900217	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.450109	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.450109	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	12	5.401303	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	17	7.651846	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	24	10.802607	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	45	20.254888	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	273	122.879651	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	475	213.801590	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	7023	3161.112777	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	167	75.168138	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.450109	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	5	2.250543	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	4	1.800434	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	24	10.802607	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.450109	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	3	1.350326	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.450109	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.450109	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	53	23.855756	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	130	58.514119	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	1224	550.932940	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	64	28.806951	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	3	1.350326	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.450109	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	3	1.350326	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	20	9.002172	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	201	90.471831	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	963	433.454593	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	8	3.600869	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.450109	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	7	3.150760	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	48	21.605213	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.450109	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	2	0.900217	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	4	1.800434	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	4	1.800434	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	207	93.172483	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	897	403.747424	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	3905	1757.674127	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	156	70.216943	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	20	9.002172	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692798-51692817:+	1	0.450109	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.450109	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	3	1.350326	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	8	3.600869	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176352-94176375:+	1	0.450109	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	1	0.450109	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	8	3.600869	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	24	10.802607	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	431	193.996811	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	3619	1628.943064	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	40780	18355.429165	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	71	31.957711	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	8	3.600869	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	2	0.900217	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176382:+	1	0.450109	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	3	1.350326	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	1	0.450109	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	1	0.450109	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	7	3.150760	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176430-94176449:+	1	0.450109	N	precursor
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	2	0.900217	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	7	3.150760	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	1018	458.210566	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557269:-	1	0.450109	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	4	1.800434	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	6	2.700652	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	40970	18440.949801	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	16	7.201738	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	3583	1612.739154	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	2	0.900217	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	485	218.302676	N	mature,MIMAT0000067
