miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.288897	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.096299	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	12	1.155587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	28	2.696369	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	34	3.274162	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.096299	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	442	42.564108	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	16607	1599.235618	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	43618	4200.364857	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	72666	6997.654930	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1517	146.085412	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	20	1.925978	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.385196	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	19	1.829679	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.096299	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.192598	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	14	1.348184	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.192598	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.096299	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	27	2.600070	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	56	5.392738	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	57	5.489037	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.096299	N	mature,MIMAT0004481
