miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.330350	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	4.294555	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	65	21.472775	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2275	751.547113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7083	2339.871738	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22664	7487.061002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1758	580.755967	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	126	41.624148	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	0.660701	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	1.321402	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	1.321402	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	13	4.294555	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	30	9.910511	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	6.276657	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.991051	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	3	0.991051	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.330350	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.330350	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	4.955256	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	10	3.303504	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146547-122146568:-	1	0.330350	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	22	7.267708	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1755	579.764916	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	8	2.642803	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.660701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22857	7550.818625	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.660701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.660701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7171	2368.942572	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2238	739.324149	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	69	22.794176	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.330350	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.330350	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	3	0.991051	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.330350	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	44	14.535417	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	95	31.383286	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	51	16.847869	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.660701	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	61	20.151373	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2291	756.832719	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7043	2326.657723	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	22968	7587.487517	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1732	572.166857	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.660701	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.330350	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	2.973153	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	24	7.928409	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	32	10.571212	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.330350	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	3	0.991051	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.660701	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.991051	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	0.991051	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	4	1.321402	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	91	30.061885	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	1988	656.736554	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1155	381.554688	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	4248	1403.328412	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1611	532.194461	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.330350	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.330350	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.330350	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.330350	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	1.321402	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	33	10.901563	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.330350	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.330350	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.660701	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.330350	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	2	0.660701	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.330350	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	0.660701	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	21	6.937358	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	54	17.838920	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	27	8.919460	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	4	1.321402	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	172	56.820265	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1025	338.609139	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1661	548.711980	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	10230	3379.484383	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	1415	467.445787	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	20	6.607008	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	0.660701	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	0.660701	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	3	0.991051	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	4	1.321402	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	26	8.589110	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	53	17.508570	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.330350	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539904:+	2	0.660701	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	1	0.330350	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	5	1.651752	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	25	8.258759	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	88	29.070833	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	8	2.642803	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	7	2.312453	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	46	15.196117	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	162	53.516761	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	0.991051	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	0.660701	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	1	0.330350	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	11	3.633854	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	1	0.330350	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	47	15.526468	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	140	46.249053	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	534	176.407103	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	25	8.258759	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	1	0.330350	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692859:+	1	0.330350	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	2	0.660701	N	mature,MIMAT0004485
